,age,year,Expenses with kids low,Expenses with kids high,Expenses without kids low,Expenses without kids high,total low,total high
0,37,2022,51778.51966187514,67208.46124854124,0.0,0.0,51663.215586142476,67254.75353140265
1,38,2023,53478.21315453967,69642.08805150691,0.0,0.0,53568.10489092095,69529.7768590482
2,39,2024,55187.23465199257,72053.90459513596,0.0,0.0,55216.282942296064,72071.12773126319
3,40,2025,0.0,0.0,46618.73718013992,56887.58528929821,46577.46108903006,56969.18625179659
4,41,2026,0.0,0.0,48153.63080993754,58977.155685012236,48231.45486876042,59031.81445845464
5,42,2027,0.0,0.0,49768.89626686585,61218.36195185299,49764.109720964145,61202.43142984047
6,43,2028,0.0,0.0,51408.4139592485,63446.755232768905,51429.52654236305,63473.073392922364
7,44,2029,0.0,0.0,53097.92799869725,65686.61128997864,53246.083228848984,65690.75413028405
8,45,2030,0.0,0.0,54850.02463663372,67968.42481112576,54732.319153095385,68089.353463007
9,46,2031,0.0,0.0,56610.264975585415,70482.2703586989,56620.19998223161,70489.75447992736
10,47,2032,0.0,0.0,58548.03487083641,72997.30318406479,58608.79440293458,72828.97124589699
11,48,2033,0.0,0.0,60443.45453674079,75550.97080027012,60408.96423707763,75574.56428254573
12,49,2034,0.0,0.0,62589.149700225586,78249.67122136625,62506.64545179266,78223.27567050018
13,50,2035,0.0,0.0,64622.10359675608,80967.90357038035,64667.82523290949,81030.04162267943
14,51,2036,0.0,0.0,66908.54548174239,84009.83145236605,66763.07309964839,84133.86064334578
15,52,2037,0.0,0.0,69244.68398253234,86974.08602123609,69223.30985453946,86990.60829442138
16,53,2038,0.0,0.0,71600.88358115616,89992.07684804636,71622.71758138266,90198.43149003462
17,54,2039,0.0,0.0,74135.05796988883,93337.15860932846,74166.66942666752,93400.52684523782
18,55,2040,0.0,0.0,76532.66662206291,96637.20014273471,76656.4332708507,96772.75006002902
19,56,2041,0.0,0.0,79025.30258691064,99964.43007168999,79127.8611459497,99939.0071639932
20,57,2042,0.0,0.0,81604.97003163936,103200.0050698853,81901.93201689635,103391.88989935428
21,58,2043,0.0,0.0,84449.972566474,106878.53204861112,84444.39336719646,106988.89397034346
22,59,2044,0.0,0.0,87330.91281126281,110659.1037135305,87359.01694568469,110746.42901533634
23,60,2045,0.0,0.0,90386.12519926146,114414.12162754683,90489.76388501632,114619.97397929712
24,61,2046,0.0,0.0,93167.79639272358,118412.15960840773,93149.80753482511,118449.94207926383
25,62,2047,0.0,0.0,96073.54456613006,122803.50660277728,96500.72299919257,122872.38877305068
26,63,2048,0.0,0.0,99053.10033396869,127242.77195616583,99094.72172548623,127293.16353497807
27,64,2049,0.0,0.0,102393.45102424429,131551.3052562554,102292.04117597004,131561.2061575737
28,65,2050,0.0,0.0,105355.56620457197,136692.6635537253,104981.0662886487,136813.58395746283
29,66,2051,0.0,0.0,109105.25577371247,141407.02669403772,109015.0818322938,140976.3137934056
30,67,2052,0.0,0.0,112769.87297330852,146298.78109775012,112773.02091694486,146236.89850585588
31,68,2053,0.0,0.0,116585.96696948749,151474.8687404585,116796.61750930811,151372.44729068063
32,69,2054,0.0,0.0,120367.75161984676,156844.3415515239,120449.4453568639,156670.78989670036
33,70,2055,0.0,0.0,124788.23690628949,162645.0842570391,124497.21575078688,162080.08056601582
34,71,2056,0.0,0.0,129144.771808989,168294.97273112752,129702.12477586504,168207.2749500688
35,72,2057,0.0,0.0,133460.66013764727,174562.1898416414,132967.18960640777,174549.50854173762
36,73,2058,0.0,0.0,137792.12247812076,181237.8462836033,137678.51351539843,181480.9299641007
37,74,2059,0.0,0.0,142313.5523163763,187553.52352651197,142503.64208970813,187664.4120227112
38,75,2060,0.0,0.0,147886.76781970594,194144.76905753597,147809.50895776678,194576.7916049794
39,76,2061,0.0,0.0,152727.6771414054,201167.55980874054,152429.4910677796,200729.95315655618
40,77,2062,0.0,0.0,157738.41980440146,207868.6088239824,157321.89165895898,207536.10783964745
41,78,2063,0.0,0.0,163021.20761623234,214953.7585169104,162737.16759434927,214727.99291887414
42,79,2064,0.0,0.0,168573.94080693685,222401.17545656385,168358.72701867946,222538.07455870003
43,80,2065,0.0,0.0,174372.62942454248,230127.76514282302,174421.9119149106,230023.6076106455
44,81,2066,0.0,0.0,180160.89173731246,238651.27937000163,180291.5665489224,238956.64607421518
45,82,2067,0.0,0.0,185826.81913405386,246902.96604685395,185791.3614170596,246916.31984000176
46,83,2068,0.0,0.0,191507.2951859766,255924.21683702187,191413.68651328894,255727.55591878082
47,84,2069,0.0,0.0,197910.7026180447,264557.4585238365,198105.15912762686,264662.8781934802
48,85,2070,0.0,0.0,204809.12684305053,274559.83525559626,204641.98318239005,274495.05860361713
49,86,2071,0.0,0.0,211445.65144369635,284038.4032919496,212038.87338366208,284060.3164913214
50,87,2072,0.0,0.0,218414.49607491028,293759.42782249,218397.07580770145,293875.4688364386
51,88,2073,0.0,0.0,225830.29570006882,303136.1061019977,226255.5858043222,303046.7857901272
52,89,2074,0.0,0.0,233986.66718195932,313926.3891356473,235047.2910793245,313662.38815946673
53,90,2075,0.0,0.0,241957.4761349272,326204.641719187,241498.18186719948,327040.42507356266
54,91,2076,0.0,0.0,250833.6352216375,336951.09046262084,250328.7650832651,336490.1495521509
55,92,2077,0.0,0.0,259741.50098720222,349259.197650432,260234.36005609756,349675.1548239986
56,93,2078,0.0,0.0,268038.305851447,361744.5420183912,266962.61830030516,361568.5800413754
57,94,2079,0.0,0.0,277820.45935118996,373746.1248237108,277538.63882192835,374392.4083624138
58,95,2080,0.0,0.0,287288.8255867362,387210.12706545106,286594.2938942819,387202.87122505286
59,96,2081,0.0,0.0,297079.9986897457,400393.4956198391,297000.50598323136,400330.92896249506
60,97,2082,0.0,0.0,307411.8757194084,413593.91495100287,306243.2289796001,412605.6529463068
61,98,2083,0.0,0.0,319063.9335935402,428679.46901121055,319255.6710032027,429046.66985436453
62,99,2084,0.0,0.0,329051.4690815254,444501.55506648135,328275.90589778655,444476.32050706673
